"site","species","phenophase","mean_slope","mean_p","mean_se","sigma_slope","sigma_se","sigma_p","bp_p","n","mean_doy","min_year","max_year","mean_tmax","lat","lon","dataset","mean_slope_temp","mean_se_temp","mean_p_temp","sigma_slope_temp","sigma_se_temp","sigma_p_temp","bp_p_temp","n_temp","seasonality","mean_temp","pheno_position","tax_group","pheno_group"
"k_100","Hirundo rustica","first_occurence",-0.0210417146808022,0.873392753785877,0.130884475521878,-0.202859896498985,0.16367206115868,0.225123685573447,0.128536574164129,31,111.741935483871,1971,2003,14.9967741935484,37.68333333,128.75,"korea",-0.77848726308527,0.992754984291577,0.439299786483094,-0.439024096946959,0.966478714613561,0.65302981160441,0.447438555267851,31,25.3950819672131,13.9871584699454,-20.1133276740238,"bird","bird"
"k_100","Cuculus canorus","first_occurence",0.21028516159703,0.0525050331520866,0.104422918035778,-0.0476219299589514,0.155931477741913,0.762037123614255,0.983992945317744,34,133.088235294118,1971,2006,19.55,37.68333333,128.75,"korea",2.92149292149292,1.41520321724886,0.0471681791075469,1.20372473313651,1.37314193598231,0.387226303484337,0.27415577376788,34,25.3950819672131,13.9871584699454,1.23297213622291,"bird","bird"
"k_100","Orthetrum albistylum","first_occurence",0.184847888155956,0.672371973472191,0.422941955493673,-0.351514554822623,0.392568676121652,0.393879368995248,0.183964194753602,11,184.727272727273,1972,2006,24.1818181818182,37.68333333,128.75,"korea",-4.62046361390841,2.53802078774953,0.102022516227743,0.810939804384605,2.36855078428936,0.739926370289622,0.596124079582811,11,25.3950819672131,13.9871584699454,52.872009569378,"insect","insect"
"k_100","Rhododendron mucronulatum","first_flower",-0.317581867857001,0.0263812415516219,0.135464925830514,-0.0949895237473782,0.180719715037258,0.603291896505677,0.170611753871103,30,119.766666666667,1973,2006,15.1133333333333,37.68333333,128.75,"korea",-4.37977976925705,0.662846864760609,3.6274721807832e-07,-0.262132710433526,0.453172524754705,0.56759164273741,0.516725555460057,30,25.3950819672131,13.9871584699454,-0.830555555555563,"plant","flower"
"k_100","Prunus serrulata","first_leaf",-0.327065026362038,0.00670164270646306,0.1097637378106,0.15119584320318,0.104954925464229,0.163179135000065,0.124773929944911,25,116.44,1975,2006,15.284,37.68333333,128.75,"korea",-3.29180201743887,0.737690930905593,0.000177829138387348,-0.381143025398452,0.855195417595386,0.65999581631292,0.334043107114466,25,25.3950819672131,13.9871584699454,4.32235294117646,"plant","leaf"
"k_100","Prunus serrulata","first_flower",-0.389348686577907,0.0166308079327087,0.149615231083517,0.136905915243444,0.115680090881936,0.249840743864633,0.123414172673717,23,126.086956521739,1976,2006,19.6869565217391,37.68333333,128.75,"korea",-4.2612102456048,1.86250666273341,0.032618294308247,0.313755185355897,1.90694949165669,0.870885369083615,0.675391303058153,23,25.3950819672131,13.9871584699454,5.4897342995169,"plant","flower"
"k_100","Rhododendron mucronulatum","first_leaf",-0.226956521739221,0.316541945546565,0.221439566177217,0.0614035087719351,0.291510146774537,0.835107472781052,0.136586986087167,24,111.583333333333,1983,2006,15.3666666666667,37.68333333,128.75,"korea",-4.10344827586208,0.918184341742549,0.000191819396092884,0.190404797601206,0.63619631135897,0.767530768340636,0.417970398522912,24,25.3950819672131,13.9871584699454,-0.534313725490208,"plant","leaf"
"k_100","Forsythia koreana","first_leaf",-0.371929824561396,0.0978781640517481,0.212348495345404,0.203508771929845,0.22533551538825,0.379072970776076,0.232492540988418,19,107.105263157895,1988,2006,15.5473684210526,37.68333333,128.75,"korea",-2.90793794587249,0.768472454697398,0.00148126355531785,0.681818917126359,0.685361219785975,0.33376850817427,0.213726624774991,19,25.3950819672131,13.9871584699454,-5.0123839009288,"plant","leaf"
"k_100","Forsythia koreana","first_flower",-0.23859649122807,0.303152293647372,0.224696811600371,0.250219298245629,0.213342119463805,0.257026949521889,0.129968101604579,19,115.263157894737,1988,2006,15.5473684210526,37.68333333,128.75,"korea",-3.47959838447892,0.623048638527497,3.28658839965754e-05,0.045011889933194,0.387413639186168,0.908866920571487,0.378901198862059,19,25.3950819672131,13.9871584699454,-5.33406432748539,"plant","flower"
"k_101","Cosmos bipinnatus","first_flower",0.659271563494688,0.0213990748918634,0.268559988699663,-0.569299865076737,0.242113953129902,0.0268914354346035,0.195137915208627,27,225.666666666667,1967,2006,29.1740740740741,37.9,127.7333333,"korea",1.6234727590076,2.81326478475011,0.569047614657253,-5.79013942567427,2.42358704718577,0.0247552634952504,0.18256238276456,27,29.0114754098361,16.7382513661202,106.741573033708,"plant","flower"
